01670000	Mansfield
35170000	Map Academy Charter School (District)
01680000	Marblehead
04640000	Marblehead Community Charter Public (District)
01690000	Marion
01700000	Marlborough
01710000	Marshfield
07000000	Martha's Vineyard
04660000	Martha's Vineyard Charter Public School (District)
04920000	Martin Luther King, Jr. Charter School of Excellence (District)
07050000	Masconomet
01720000	Mashpee
04690000	Match Charter Public School (District)
04650000	MATCH Community Day Charter Public School (District)
01730000	Mattapoisett
01740000	Maynard
01750000	Medfield
01760000	Medford
01770000	Medway
01780000	Melrose
07100000	Mendon-Upton
01810000	Methuen
01820000	Middleborough
01840000	Middleton
01850000	Milford
01860000	Millbury
01870000	Millis
01890000	Milton
08300000	Minuteman Regional Vocational Technical
07170000	Mohawk Trail
07120000	Monomoy Regional School District
01910000	Monson
08320605	Montachusett Regional Vocational Technical
07150000	Mount Greylock
04700000	Mystic Valley Regional Charter (District)
01960000	Nahant
01970000	Nantucket
07200000	Narragansett
07250000	Nashoba
08520000	Nashoba Valley Regional Vocational Technical
01980000	Natick
06600000	Nauset
01990000	Needham
04440000	Neighborhood House Charter (District)
02010000	New Bedford
04720000	New Bedford Global Learning Charter (District)
35130000	New Heights Charter School of Brockton (District)
04710000	New Leadership Charter (District)
04670000	New Liberty Charter School of Salem (District)
07280000	New Salem-Wendell
02040000	Newburyport
02070000	Newton
02080000	Norfolk
09150705	Norfolk County Agricultural
02090000	North Adams
02110000	North Andover
02120000	North Attleborough
02150000	North Brookfield
07350000	North Middlesex
02170000	North Reading
08540000	North Shore Regional Vocational Technical
04730000	North Star Academy Charter
02100000	Northampton
04060000	Northampton-Smith Vocational Agricultural
07300000	Northboro-Southboro
02130000	Northborough
02140000	Northbridge
08530000	Northeast Metropolitan Regional Vocational Technical
08510000	Northern Berkshire Regional Vocational Technical
02180000	Norton
02190000	Norwell
02200000	Norwood
02210000	Oak Bluffs
08550000	Old Colony Regional Vocational Technical
07400000	Old Rochester
35150000	Old Sturbridge Academy Charter Public School (District)
02230000	Orange
02240000	Orleans
02260000	Oxford
02270000	Palmer
08600000	Pathfinder Regional Vocational Technical
35010000	Paulo Freire Social Justice Charter School (District)
00490050	Peabody
02300000	Pelham
02310000	Pembroke
07450000	Pentucket
02340000	Petersham
04930000	Phoenix Academy Charter Public High School, Chelsea (District)
35180000	Phoenix Academy Public Charter High School, Lawrence (District)
35080000	Phoenix Academy Public Charter High School, Springfield (District)
04940000	Pioneer Charter School of Science (District)
35060000	Pioneer Charter School of Science II (District)
07500000	Pioneer Valley
04970000	Pioneer Valley Chinese Immersion Charter (District)
04790000	Pioneer Valley Performing Arts Charter Public (District)
02360000	Pittsfield
02380000	Plainville
02390000	Plymouth
07510000	Plymouth-Carver Regional
02400000	Plympton
04870000	Prospect Hill Academy Charter (District)
02420000	Provincetown
07530000	Quabbin
07780000	Quaboag Regional
02430000	Quincy
07550000	Ralph C Mahar
02440000	Randolph
02460000	Reading
02480000	Revere
02490000	Richmond
04830000	Rising Tide Charter Public (District)
04820000	River Valley Charter (District)
04510000	Robert M. Hughes Academy Charter Public (District)
02500000	Rochester
02510000	Rockland
02520000	Rockport
02530000	Rowe
04220000	Roxbury Charter High Public (District)
04840000	Roxbury Preparatory Charter (District)
02580000	Salem
04850000	Salem Academy Charter (District)
02610000	Sandwich
02620000	Saugus
02630000	Savoy
02640000	Scituate
02650000	Seekonk
02660000	Sharon
08710000	Shawsheen Valley Regional Vocational Technical
02690000	Sherborn
02710000	Shrewsbury
02720000	Shutesbury
04770000	Silver Hill Horace Mann Charter (District)
07600000	Silver Lake
04740000	Sizer School: A North Central Charter Essential (District)
02730000	Somerset
07630000	Somerset Berkley Regional School District
02740000	Somerville
02780000	South Hadley
08290000	South Middlesex Regional Vocational Technical
04880000	South Shore Charter Public (District)
08730000	South Shore Regional Vocational Technical
02750000	Southampton
02760000	Southborough
02770000	Southbridge
08720000	Southeastern Regional Vocational Technical
07650000	Southern Berkshire
08760000	Southern Worcester County Regional Vocational School District
07660000	Southwick-Tolland-Granville Regional School District
07670000	Spencer-E Brookfield
04760000	Spirit of Knowledge Charter School (District)
02810000	Springfield
04410000	Springfield International Charter (District)
35100000	Springfield Preparatory Charter School (District)
02840000	Stoneham
02850000	Stoughton
02870000	Sturbridge
04890000	Sturgis Charter Public (District)
02880000	Sudbury
02890000	Sunderland
02900000	Sutton
02910000	Swampscott
02920000	Swansea
07700000	Tantasqua
02930000	Taunton
39020000	TEC Connections Academy Commonwealth Virtual School District
02950000	Tewksbury
02960000	Tisbury
02980000	Topsfield
08780605	Tri-County Regional Vocational Technical
07730000	Triton
03000000	Truro
03010000	Tyngsborough
04800000	UP Academy Charter School of Boston (District)
35050000	UP Academy Charter School of Dorchester (District)
07740000	Up-Island Regional
04900000	Uphams Corner Charter (District)
08790000	Upper Cape Cod Regional Vocational Technical
03040000	Uxbridge
04980000	Veritas Preparatory Charter School (District)
07750000	Wachusett
03050000	Wakefield
03060000	Wales
03070000	Walpole
03080000	Waltham
03090000	Ware
03100000	Wareham
03120000	Warwick
03140000	Watertown
03150000	Wayland
03160000	Webster
03170000	Wellesley
03180000	Wellfleet
03220000	West Boylston
03230000	West Bridgewater
03320000	West Springfield
03210000	Westborough
03250000	Westfield
03260000	Westford
03270000	Westhampton
03300000	Weston
03310000	Westport
03350000	Westwood
03360000	Weymouth
03370000	Whately
07800000	Whitman-Hanson
08850000	Whittier Regional Vocational Technical
03400000	Williamsburg
03420000	Wilmington
03430000	Winchendon
03440000	Winchester
01440015	Winthrop
03470000	Woburn
03480000	Worcester
35190000	Worcester Cultural Academy Charter Public School (District)
04080000	Worcester Trade Complex
03490000	Worthington
03500000	Wrentham
