Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Explicit Track
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,3/17/2023,28.0,"350,802,342",12581,76.0,"150,660,549","5,807,332","104,841,360","494,628,703",1
Satu Rasa Cinta,Satu Rasa Cinta,Fira Cantika,12/16/2022,28.0,,1,,"1,858,910","8,964","5,143,214","133,463,784",0
Azul,Colores,J Balvin,3/19/2020,28.0,"489,654,759",60072,63.0,"478,807,073","3,205,287","39,869,163","491,920,895",0
LOCATION,LOCATION,KAROL G,2/12/2021,28.0,"236,644,328",36130,50.0,"525,752,748","3,073,337","34,209,228","329,180,615",1
Terminator,Terminator,King Promise,5/5/2023,28.0,"34,026,239",8723,58.0,"56,469,190","290,499","28,395,882","391,501,573",0
Orang Yang Salah - Sped Up Version,Orang Yang Salah (Sped Up Version),Luvia band,9/20/2023,28.0,"3,900,009",239,,"2,001,200","23,163","21,126,908","529,234,742",0
Snowman,Snowman,Sia,11/9/2017,28.0,"947,770,190",123852,69.0,"417,814,325","6,867,798","644,731,553","5,479,108,705",0
Hurricane,Donda,Kanye West,8/29/2021,28.0,"404,497,617",108795,62.0,"45,337,894","615,908","10,266,783","91,838,300",0
Rumah Singgah,Rumah Singgah,Fabio Asher,5/5/2022,28.0,"239,624,643",13095,67.0,"228,923,419","1,210,579","227,531,657","3,306,847,230",0
Strip That Down (feat. Quavo),Strip That Down,Liam Payne,5/18/2017,28.0,"1,000,549,809",86051,63.0,"503,776,997","5,263,027","29,551,464","181,309,829",0
IT GIRL - Sped up Version,IT GIRL (Sped up Version),Aliyah's Interlude,9/30/2023,27.9,"23,708,233",7125,,,,"344,205,330","3,090,790,304",1
Khodni,Khodni - Single,AL SHAMI,5/16/2024,27.9,"916,695",97,,"19,150,049","391,641",,,0
Lost in the Fire (feat. The Weeknd),Lost in the Fire (feat. The Weeknd),Gesaffelstein,1/11/2019,27.9,"895,496,661",158437,75.0,"60,795,572","663,427","61,383,164","500,515,994",1
Minha Heranï¿½,Minha Heranï¿½,Ana Castela,5/30/2024,27.9,"3,582,494",506,64.0,"8,320,170","107,335",,,0
Diva Yorgun,Diva Yorgun,Melike ï¿½ï¿½,6/16/2023,27.9,"62,458,329",7526,58.0,"167,062,542","417,472","693,244","25,252,458",0
Can't Get Enough,Can't Get Enough,Jennifer Lopez,1/10/2024,27.9,"9,293,098",1348,,"19,200,761","262,872","5,065,489","1,752,700",1
The Man He Sees in Me,The Man He Sees in Me,Luke Combs,6/6/2024,27.9,"5,942,861",766,71.0,"417,205","14,380",,,0
Dilemma,Nellyville (Explicit Version),Nelly,6/25/2002,27.9,"859,999,247",170136,74.0,"1,639,732,381","8,770,296","36,725,930","368,297,203",1
20 Tragos,20 Tragos,Yiï¿½,11/25/2022,27.9,"477,396",29,,"388,682,045","2,199,489","3,983","52,662",1
My wrist (with Young Thug),My wrist (with Young Thug),Yeat,5/26/2023,27.9,"83,393,310",32703,64.0,"14,159,412","193,138","985,058","9,909,365",1
GigaChad Theme - Phonk House Version,GigaChad Theme (Phonk House Version),g3ox_em,8/22/2022,27.9,"282,776,356",45283,69.0,"152,603,363","1,541,141","255,172","1,672,858",0
Jackie Chan,Jackie Chan,Tiï¿½ï¿,5/18/2018,27.9,"867,318,774",122200,66.0,"207,699,017","1,553,887","9,941,160","91,008,651",1
Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,4/22/2022,27.9,"383,945,607",58627,72.0,"51,670,623","427,016","9,518,866","159,467,861",0
Bombonzinho - Ao Vivo,Bombonzinho (Ao Vivo),Israel & Rodolffo,11/3/2022,27.9,"343,704,935",21379,61.0,"208,025,693","659,040","8,502,888","153,392,985",0
Mil Preguntas,Mil Preguntas - Single,The La Planta,3/7/2024,27.9,"27,026,914",2367,70.0,"46,888,149","156,738",,,0
OJALï¿,OJALï¿,Maria Becerra,6/1/2022,27.8,"168,710,415",16559,56.0,"358,805,694","1,890,653","24,990,011","248,098,853",0
Bejeweled,Midnights,Taylor Swift,10/21/2022,27.8,"536,110,386",32472,71.0,"19,011,964","168,023","171,672,855","1,573,795,763",0
Lovin On Me,Lovin On Me - Single,Jack Harlow,11/10/2023,27.8,"669,206,771",4166,,,,,,0
Back for More (with Anitta),Back for More (with Anitta),TOMORROW X TOGETHER,9/15/2023,27.8,"93,990,459",8050,,"112,494,830","3,245,862","53,080,335","296,861,046",0
Heaven,Kane Brown (Deluxe Edition),Kane Brown,10/6/2017,27.8,"492,361,216",43773,66.0,"697,287,853","3,494,761","5,665,191","74,609,105",0
Rolex,Rolex,Ayo & Teo,1/13/2017,27.8,"491,358,577",7067,,"1,050,086,757","10,196,796",,,0
That Girl,That Girl,Amrinder Gill,5/24/2024,27.8,"4,128,853",234,62.0,"11,272,889","177,421",,,0
FERXXO 151,FERXXO 151,Feid,8/25/2023,27.8,"106,899,723",23959,64.0,"54,351,042","362,313","3,566,805","44,045,683",0
Dhaniya Ae Jaan,Dhaniya Ae Jaan,Pawan Singh,9/14/2023,27.8,"5,842,217",191,,"180,823,113","1,072,157",,,0
Young And Beautiful,Music From Baz Luhrmann's Film The Great Gatsby,Lana Del Rey,1/1/2013,27.8,"1,256,488,099",158078,80.0,"721,653,474","5,562,953","104,232,046","881,937,736",0
United In Grief,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,27.8,"246,425,341",81509,71.0,"38,465,606","807,082","43,090,164","342,828,836",1
Drunk in Love,Beyoncï¿½ï¿½ (Del,Beyoncï¿,12/13/2013,27.8,"607,315,454",73281,67.0,"827,853,706","3,895,677","24,392,560","200,100,315",1
La Vida Sin Ti,La Vida Sin Ti,Rels B,4/22/2024,27.8,"50,171,337",3367,74.0,"9,998,588","151,631",,,0
FREAK,YUQ1,YUQI,4/23/2024,27.7,"9,956,970",918,66.0,"28,265,816","825,743","3,714,416","16,415,876",0
Casa Mia,Casa Mia,Ghali,2/7/2024,27.7,"55,157,600",3119,74.0,"41,112,701","322,239",,,0
Kaikai Kitan,ýýýýýýýýýýýý,Eve,10/3/2020,27.7,"404,765,225",64972,68.0,"470,390,576","3,380,515","70,942,249","561,999,669",0
Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),YBN Nahmir,1/22/2021,27.7,"246,949,197",80591,64.0,"62,144,315","935,278","715,700","4,922,539",1
Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,9/13/2019,27.7,"589,145,587",130464,71.0,"235,289,339","3,294,641","90,157,158","569,986,027",0
Go Fuck Yourself,First Steps,Two Feet,7/29/2016,27.7,"649,191,183",160382,68.0,"645,296,970","8,887,252","151,017,071","1,557,145,950",1
Crocodile Tearz,Might Delete Later,J. Cole,4/5/2024,27.7,"37,057,985",5769,,"7,966,475","130,502",,,1
PLIS,PLIS,Camilo,2/6/2024,27.7,"37,814,314",2461,,"21,688,661","208,161","19,478,404","336,367,149",0
Back to Me,VULTURES 1,Kanye West,2/9/2024,27.7,"77,403,728",13507,,"5,768,907","96,404","268,900","1,600,000",1
Antidepresan,Antidepresan,Mert Demir,11/4/2022,27.7,"172,362,945",25648,62.0,"164,304,790","644,688","15,092,029","428,987,615",0
Rise,Rise,Jonas Blue,5/25/2018,27.7,"872,518,334",93636,64.0,"681,562,909","4,154,352","2,845,186","36,403,946",0
Summertime Sadness,Born To Die (Deluxe Version),Lana Del Rey,1/1/2011,27.7,"1,442,872,605",204954,79.0,"572,303,765","6,181,000","173,066,210","1,549,975,311",0
8:00 AM,8:00 AM,Nicki Nicole,5/17/2023,27.7,"135,465,283",20671,63.0,"106,663,098","736,558","59,387,239","500,108,092",1
PICK IT UP (feat. A$AP Rocky),Pick It Up (feat. A$AP Rocky),Famous Dex,10/20/2017,27.7,"577,534,277",47818,58.0,,,,,1
Double Fantasy (with Future),Double Fantasy,The Weeknd,4/21/2023,27.7,"180,940,067",36631,66.0,"51,093,878","753,208","5,091,663","47,997,951",1
Jungle,Jungle,Alok,9/22/2023,27.7,"111,266,488",19017,,"10,259,020","89,765","409,916","17,703,236",0
Fisherrr,Fisherrr - Single,Cash Cobain,2/28/2024,27.7,"9,215,777",2816,28.0,"12,076,033","245,565","5,321,778","40,589,924",1
Thank You for Being You,Thank You for Being You,OctaSounds,9/7/2022,27.7,"2,248,788",739,43.0,"1,577,614","20,317","70,652,797","1,050,704,352",0
Wild as Her,Wild as Her,Corey Kent,3/4/2022,27.6,"180,186,017",32769,66.0,"36,595,510","280,859","1,974,569","23,448,462",0
Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),Bazzi,8/2/2018,27.6,"737,482,160",55335,66.0,"419,937,796","4,019,192","189,904,593","2,189,766,597",0
Black Friday,Black Friday,Tom Odell,9/20/2023,27.6,"126,929,488",23805,,"11,445,116","165,135","10,350,073","59,075,543",0
Summertime Sadness (Sped Up),Summertime Sadness (Sped Up),Lana Del Rey,5/4/2022,27.6,"68,235,585",10765,59.0,"444,569,952","2,796,117","220,759","1,468,789",0
Ignorantes,Ignorantes,Bad Bunny,2/14/2020,27.6,"671,572,185",88857,62.0,"417,964,046","2,807,917","4,124,925","26,125,487",1
Break Free,Pop Party 13,Ariana Grande,1/1/2014,27.6,"899,830,382",96199,70.0,"1,288,704,058","6,983,846","50,779,178","371,404,445",0
Risk,Risk,Gracie Abrams,5/1/2024,27.6,"41,114,784",2686,78.0,"3,726,904","134,081",,,0
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,11/27/2020,27.6,"286,381,494",54422,61.0,"445,932,496","5,316,366","137,985,248","1,257,208,158",0
WY@,WY@,Brent Faiyaz,9/19/2023,27.6,"54,763,093",15316,,"14,737,929","247,838","10,284,542","72,141,490",1
Acapulco,Acapulco,Jason Derulo,9/3/2021,27.6,"442,260,324",67318,65.0,"83,588,626","799,248","35,703,303","310,298,540",0
GHOST TOWN,GHOST TOWN,Benson Boone,10/15/2021,27.6,"382,177,076",65369,66.0,"78,537,068","806,081","60,677,641","629,205,287",0
Bande organisï¿½,Bande organisï¿½,13 Organisï¿,8/15/2020,27.5,"267,241,905",62950,63.0,"515,808,378","2,686,256","641,873","12,209,681",1
Only Human,Happiness Begins,Jonas Brothers,6/7/2019,27.5,"508,463,163",58919,65.0,"136,979,542","1,457,926","6,682,986","45,970,559",0
Daddy Issues,Wiped Out!,The Neighbourhood,10/30/2015,27.5,"1,435,372,572",239555,80.0,"450,121,249","5,511,534","196,480,803","1,122,697,302",0
Cha Cha Cha,Cha Cha Cha,Kï¿½ï¿½ï¿½,1/17/2023,27.5,"143,311,775",42463,66.0,"85,239,745","891,585","18,889,271","304,146,444",0
Raining In Manila,Raining In Manila,Lola Amour,6/14/2023,27.5,"136,169,854",11506,63.0,"117,339,013","473,732","57,862,276","567,845,644",0
Diabï¿½ï¿½,Diabï¿½ï¿½,Cris Mj,11/8/2023,27.5,"83,966,111",12847,73.0,"51,878,795","239,672","2,323","21,053",1
HE KNOWS (feat. Lil Nas X),HE KNOWS (feat. Lil Nas X),Camila Cabello,5/10/2024,27.5,"14,234,598",1591,,"6,333,352","231,932",,,1
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Feels,Calvin Harris,6/16/2017,27.5,"1,120,187,276",153725,70.0,"80,920,611","707,090","369,847,461","2,745,676,769",1
Everybody make some Tik Tok,Everybody make some some Tik Tok,Bounce Oï¿½ï¿½ï¿,5/22/2019,27.5,"532,262",481,13.0,,,"108,201,976","2,218,181,933",0
Another Love (Tiï¿½ï¿½sto Re,Another Love (Tiï¿½ï¿½sto Re,Tom Odell,5/13/2022,27.5,"141,141,890",32658,67.0,"26,048,435","224,730","900,971,288","8,556,410,580",0
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",His & Hers,Internet Money,5/13/2021,27.5,"224,820,131",81921,,"49,154,791","830,423","151,684,690","1,272,691,476",1
Tu Aake Dekhle,The Carnival,King,9/21/2020,27.5,"410,639,967",33664,69.0,"619,113,386","7,584,160","4,491,970","61,728,216",0
Red Leather,WE STILL DON'T TRUST YOU,Future,4/12/2024,27.5,"22,715,763",6606,,"3,791,463","74,013",,,1
Viva La Vida,Meu Pai ï¿½ï¿½ do ,Coldplay,9/21/2005,27.5,"2,102,223,775",335772,80.0,"1,412,127,488","8,707,376","244,469,571","2,264,301,241",0
Nice to Meet You,Nice to Meet You,Imagine Dragons,5/24/2024,27.5,"15,062,636",1446,75.0,"4,507,011","112,133","570,876","6,372,350",0
Verte Ir,Verte Ir,DJ Luian,3/28/2019,27.5,"550,967,367",65928,64.0,"728,468,384","3,473,098","1,930,550","20,847,094",0
Pink + White,Blonde,Frank Ocean,8/20/2016,27.4,"1,299,650,856",228950,83.0,"158,016,588","1,286,636","68,303,456","442,090,971",0
Mother,Takin' It Back (Deluxe),Meghan Trainor,3/4/2023,27.4,"79,738,242",12390,57.0,"51,124,809","845,191","224,708,419","2,678,819,017",1
Flashback (feat. Gazo),Flashback,Favï¿,9/15/2023,27.4,"88,014,813",16418,66.0,"53,097,639","393,538","3,276,455","26,517,142",1
Space Song,Depression Cherry,Beach House,8/21/2015,27.4,"1,099,069,598",261122,73.0,"127,534,602","1,660,824","338,753,643","2,588,157,478",0
OKAY,OKAY (Versions),JT,4/24/2024,27.4,"16,446,111",1966,65.0,"5,578,963","138,920",,,1
Rude,Rude,MAGIC!,7/23/2013,27.4,,1472,,"2,541,095,833","12,472,238",,,0
Chill Bill,The RCA-List (Vol. 2),Rob $tone,1/1/2016,27.4,"843,861,768",155472,70.0,"278,120,145","2,625,552","2,669,418","16,756,000",1
My Way,My Way,Calvin Harris,9/16/2016,27.4,"1,014,534,913",132592,73.0,"615,907,345","3,461,084","10,268,320","56,011,096",0
Big City Life,Big City Life,Luude,6/16/2022,27.4,"181,323,700",71547,65.0,"17,510,125","116,193","12,550,708","160,730,392",0
Wife,Wife,(G)I-DLE,1/21/2024,27.4,"58,909,647",3850,,"65,760,732","1,341,331",,,0
'Till I Collapse,The Eminem Show,Eminem,5/26/2002,27.4,"1,958,809,069",282888,79.0,"1,463,549,979","10,918,289","6,151,095","54,356,279",1
No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,9/6/2010,27.4,"662,257,934",113043,71.0,"464,462,597","3,215,886","215,370,319","1,511,650,572",1
Jumbotron Shit Poppin,Her Loss,Drake,11/4/2022,27.4,"126,296,463",44782,62.0,"37,702,345","528,716","8,679,451","70,817,893",1
La Nota,La Nota,Manuel Turizo,10/8/2020,27.4,"560,949,285",80872,64.0,"298,415,218","1,583,803","58,834,137","576,560,432",0
Amor a Primera Vista,Amor a Primera Vista,Los ï¿½ï¿½ngeles Az,6/14/2019,27.4,"346,860,422",29735,65.0,"888,138,257","2,432,863","4,833,780","73,588,039",0
Solo,Solo,Myles Smith,11/15/2023,27.4,"95,747,052",18521,,"13,990,236","198,993","604,177","9,054,387",0
UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM,5/1/2023,27.4,"223,652,808",18262,70.0,"129,099,788","2,078,161","75,312,218","705,088,821",0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Bonnadol,3/15/2023,27.4,"478,756",207,21.0,"5,028,021","4,866","13,777,952","193,347,455",0
Elini Ver,Elini Ver,Amo988,5/15/2024,27.4,"15,352,061",639,72.0,"11,854,252","76,636",,,0
Sex Music,Sex Music,Tank,6/29/2010,27.4,"5,283,089",920,30.0,"7,187,358","56,665","21,957","482,153",0
Porfa,Porfa,Feid,12/13/2019,27.3,"396,184,710",62515,65.0,"656,159,660","2,808,401","216,831","1,796,651",0
P power (feat. Drake),DRIP SEASON 4EVER,Gunna,1/7/2022,27.3,"307,122,295",91786,69.0,"31,666,337","395,808","49,947,875","327,835,388",1
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Speak Now (Taylor's Version),Taylor Swift,7/7/2023,27.3,"247,056,218",19231,69.0,"41,065,721","1,260,603","34,732,272","386,594,049",0
Derniï¿½ï¿½re d,Derniï¿½ï¿½re D,Indila,11/13/2013,27.3,"410,783,411",84509,72.0,"1,717,040,143","17,082,350","152,093,157","1,251,931,456",0
Prada (Valexus Remix),Prada (feat. Valexus) [Valexus Remix],cassï¿,9/8/2023,27.3,"47,098,121",16949,,,,,,1
"A ver, a ver - Ric Piccolo Edit","A ver, a ver (Ric Piccolo Edit)",Donald,8/24/2022,27.3,"67,852",531,10.0,"421,207,701","529,059",,,0
Fight Song,Fight Song,Rachel Platten,12/2/2014,27.3,"897,794,289",92326,69.0,"101,998,780","1,084,274","115,034,762","1,021,462,418",0
Pepas,Pepas - Single,Farruko,8/20/2022,27.3,"1,490,710,634",11,,,,,,0
Satu Rasa Cinta,Satu Rasa Cinta - Single,Happy Asmara,12/3/2022,27.3,"3,451,208",248,37.0,"10,165,956","42,703","11,483,292","319,066,421",0
South of the Border (feat. Camila Cabello & Cardi B),South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,7/11/2019,27.3,"765,374,782",69032,67.0,"419,150,011","3,838,603","6,020,979","43,199,667",0
Losing It,Losing It,FISHER,7/13/2018,27.3,"523,954,769",213614,67.0,"96,992,359","915,175","32,897,654","313,069,043",0
MATHEMATICAL DISRESPECT,MATHEMATICAL DISRESPECT,Lil Mabu,5/5/2023,27.3,"165,642,949",39238,62.0,"13,111,498","338,766","91,978,574","709,390,008",1
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,27.3,"815,243,082",140617,66.0,"258,514,568","1,970,363","87,072,918","649,866,119",1
Dick (feat. Doja Cat),Dick (feat. Doja Cat),StarBoi3,4/23/2021,27.3,"247,462,687",55580,61.0,"76,319,678","1,242,250","270,293,066","1,691,904,373",1
Perfect Strangers,Perfect Strangers,Jonas Blue,6/3/2016,27.3,"1,050,246,077",113716,69.0,"917,728,451","4,676,705","8,116,828","62,167,288",0
Hey Brother,TRUE,Avicii,1/1/2013,27.3,"1,007,623,089",168666,72.0,"936,816,983","7,135,806","16,452,743","160,676,196",0
Otra Noche,Otra Noche - Single,Los ï¿½ï¿½ngeles Az,11/11/2021,27.3,"238,849,559",26517,64.0,"401,770,615","1,536,208","1,185,903","16,815,994",0
Yet To Come,Proof,BTS,6/10/2022,27.3,"344,744,597",16095,64.0,"264,915,434","15,060,408","122,010,208","973,086,190",0
When I'm Gone,When Iï¿½ï¿½ï¿½m Gone (with Katy ,Alesso,12/29/2021,27.3,"279,996,207",36648,64.0,"42,705,657","691,402","977,042","19,367,991",0
Girlfriend,The Second Wave (Deluxe),Ruger,6/17/2022,27.2,"56,670,689",18344,16.0,"126,849,797","654,337","19,812,568","344,920,965",1
WATATI (feat. Aldo Ranks) [From Barbie The Album],WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,6/1/2023,27.2,"100,094,720",10333,62.0,"114,762,460","834,616","34,507,211","686,876,114",0
911,911,Fuerza Regida,11/30/2022,27.2,"181,695,722",14262,68.0,"188,904,937","781,510","104,665,493","1,079,156,243",0
Always,NEVER ENOUGH,Daniel Caesar,4/7/2023,27.2,"281,707,091",40049,74.0,"23,447,030","216,253","29,519,019","236,748,049",1
YKWIM?,Bipolar,Yot Club,5/31/2019,27.2,"675,984,633",147651,75.0,"118,564,792","1,898,029","168,264,666","882,048,158",0
Damage,Damage,H.E.R.,10/21/2020,27.2,"108,241,832",24791,53.0,"206,773,555","1,296,813","11,238,095","122,657,966",0
Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),Rod Wave,8/7/2020,27.2,"227,802,182",65190,61.0,"69,718,488","722,875","105,311,337","749,906,169",1
Bellyache,Bellyache,Billie Eilish,2/24/2017,27.2,"965,899,534",101445,73.0,"834,705,559","10,523,313","42,091,450","287,094,813",0
No Wahala,No Wahala,1da Banton,7/2/2021,27.2,"154,010,050",66808,63.0,"234,249,323","1,315,242","60,004,357","729,439,284",0
Wait a Minute!,ARDIPITHECUS,WILLOW,1/11/2015,27.2,"1,081,039,358",220073,73.0,"422,709,495","5,234,949","275,664,623","2,051,079,047",0
HONEY BEES,HONEY BEES - Single,Hachi,2/6/2023,27.2,"423,395",229,29.0,"316,523,235","1,071,321","2,392,537","14,242,780",0
Gypsy,Gypsy,G.D. Kaur,5/10/2022,27.2,"58,989,412",4708,3.0,"457,435,947","2,665,092","34,450","756,707",0
Ojos Marrones,Ojos Marrones,Lasso,6/3/2022,27.2,"370,988,405",33800,68.0,"69,184,223","532,555","142,179,351","1,614,554,007",0
WASTE,DISORDER,Kxllswxtch,10/29/2021,27.2,"272,051,636",64633,72.0,"39,751,949","818,015","180,786,694","1,314,232,560",1
512,Primer Dia de Clases,Mora,2/5/2021,27.2,"475,820,416",85784,70.0,"270,122,797","1,714,650","53,172,890","369,308,687",1
MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,DJ GLK,8/5/2022,27.2,,6258,,,,"97,960,938","1,396,251,598",1
Little Things x Gypsy Woman - L BEATS MASHUP,Little Things x Gypsy Woman (L BEATS MASHUP),Jorja Smith,6/30/2023,27.2,"123,627,077",39465,71.0,,,"1,046,261","19,231,842",0
Wake Up (feat. Chris Brown),Wake Up (feat. Chris Brown),Skylar Blatt,4/26/2024,27.2,"8,040,021",1100,,"4,152,404","115,149",,,1
Sï¿½ï¿½guelo Bail,Odisea,Ozuna,8/25/2017,27.1,"544,755,640",58066,66.0,"1,070,075,376","4,032,330","24,277,629","174,267,433",0
Arranca (feat. Omega),Arranca (feat. Omega),Becky G,3/10/2023,27.1,"161,172,707",23604,66.0,"52,352,229","353,891","7,184,433","140,240,096",0
The Family Madrigal,Encanto (Original Motion Picture Soundtrack),Stephanie Beatriz,11/19/2021,27.1,"217,919,853",22687,63.0,"351,386,257","1,758,940","135,800,782","1,067,404,078",0
Hasta Abajo,Hasta Abajo,KEVIN ROLDAN,7/26/2019,27.1,"380,367,132",62939,64.0,"663,705,750","3,083,081","65,038,406","495,501,340",0
Flawlï¿½ï¿½ss (feat. Lil Uzi V,Lyfï¿,Yeat,9/9/2022,27.1,"233,573,513",67981,69.0,"39,331,190","479,798","20,275,957","122,612,542",1
Praise Jah in the Moonlight,Praise Jah in the Moonlight - Single,Uzii BigTalk,12/25/2023,27.1,,121,,,,"7,381,338","94,798,200",1
Bon appï¿½ï¿,Bon Appï¿½ï¿,Katy Perry,4/28/2017,27.1,"280,898,252",32458,60.0,"1,396,756,746","8,674,599","11,896,504","137,526,328",0
I'm the One,EPIC AF,DJ Khaled,1/1/2017,27.1,"1,257,029,279",122763,67.0,"77,475,141","982,093","16,501,624","134,170,742",1
Stay With Me,Candy Baby,1nonly,7/30/2020,27.1,"398,942,581",99939,68.0,"231,553,878","3,275,110","111,636,857","1,054,813,567",1
Typa Girl,BORN PINK,BLACKPINK,9/16/2022,27.1,"357,054,107",20864,66.0,"199,710,937","2,549,362","94,313,386","790,229,870",1
Ayy Macarena,Ayy Macarena,Tyga,11/13/2019,27.1,"417,311,779",106485,61.0,"325,105,642","5,043,313","94,185,459","1,001,763,796",1
ELA PIROU NA DODGE RAM,ELA PIROU NA DODGE RAM - Single,Luan Pereira,3/17/2023,27.1,"149,455,007",13028,17.0,"185,077,693","990,325","22,395,889","272,723,903",1
Like What (Freestyle),Like What (Freestyle),Cardi B,3/1/2024,27.1,"23,475,715",2809,,"21,710,598","476,670","3,270,800","27,373,700",1
Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,1/1/2009,27.1,"1,587,114,096",210519,76.0,"993,529,828","4,526,606","49,702,880","338,781,002",0
Wet Dreamz,2014 Forest Hills Drive,J. Cole,12/9/2014,27.0,"1,244,864,869",247570,76.0,"280,151,086","2,326,991","7,247,082","49,460,597",1
Dhani Ho Sab Dhan,Dhani Ho Sab Dhan,Pawan Singh,1/31/2023,27.0,"1,332,230",592,,"307,838,128","1,528,273","162,043","2,278,729",0
Next Level,Next Level,aespa,5/17/2021,27.0,"245,384,123",26925,68.0,"514,192,282","6,129,641","98,935,007","693,149,332",0
Whiskey Glasses,The Way I Talk,Morgan Wallen,7/29/2016,27.0,"806,728,296",86002,75.0,"429,423,484","1,944,017","7,719,684","74,890,093",0
Bado Badi,Bado Badi,Chahat Fateh Ali Khan,4/23/2024,27.0,"901,007",18,,"31,008,582","437,421",,,0
Esta Vida,Esta Vida - Single,Marshmello,4/13/2023,27.0,"94,359,848",23027,61.0,"66,093,104","558,819","645,712","13,515,544",0
Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,9/7/2017,27.0,"1,687,683,940",177653,75.0,"2,784,613","49,443",,,0
Shotta Flow [Remix],Shotta Flow (feat. Blueface) [Remix],NLE Choppa,6/20/2019,27.0,"496,344,788",114433,21.0,"476,656,319","5,123,098","3,903,832","31,236,119",1
Bolide allemand,Liens du 100,SDM,12/1/2022,27.0,"152,546,936",33014,68.0,"129,655,800","510,676","4,800,473","54,647,905",1
Amor Tumbado,Mi Nuevo Yo,Natanael Cano,12/24/2019,27.0,"413,743,535",39980,73.0,"420,669,522","2,712,590","22,305,613","152,431,204",0
New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,8/31/2022,27.0,"155,399,041",62013,60.0,"32,481,842","684,033","11,544,855","135,832,597",1
MANIAC,The 4th Mini Album 'VERSUS',VIVIZ,11/2/2023,27.0,"77,590,300",6575,,"94,172,195","738,147","22,942,690","170,046,435",0
Don't Mind,EPIC AF,Kent Jones,1/1/2016,27.0,"416,147,244",59100,59.0,"179,143,462","1,567,574","38,201,187","188,910,778",1
Dientes,Dientes,J Balvin,9/15/2023,27.0,"38,622,215",13808,4.0,"16,445,144","247,700","2,705,205","59,118,842",1
Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,2/9/2018,27.0,"982,424,606",140455,63.0,"123,104,265","916,112","13,785,747","172,191,863",1
Wake Up! (feat. Juice WRLD),11th Dimension,Ski Mask The Slump God,6/7/2024,27.0,"2,886,460",470,,"329,080","29,751",,,1
Midnight Rain,Midnights,Taylor Swift,10/21/2022,27.0,"658,208,129",36730,72.0,"83,795,730","757,210","36,893,385","256,300,464",0
"Lagdi Lahore Di (From ""Street Dancer 3D"")","Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,1/15/2020,27.0,"112,851,903",8311,61.0,"540,940,484","2,901,887","17,299,421","295,549,159",0
Boo'd Up,Ella Mai,Ella Mai,10/12/2018,27.0,"79,783,827",9749,53.0,"606,083,529","3,884,982",,,0
A Mï¿,A Mï¿,Rels B,2/21/2019,27.0,"631,152,992",82632,76.0,"655,475,553","3,056,895","53,883,893","353,157,722",0
Buttabomma - Telugu,"Buttabomma (From ""Ala Vaikunthapurramuloo"") - Single",Armaan Malik,12/24/2019,27.0,"92,120,986",8924,56.0,"981,723,299","6,195,434","16,396,111","219,466,261",0
Burn It Down,Never Enough,Parker McCollum,5/12/2023,26.9,"42,332,727",7018,65.0,"23,741,737","116,972","835,693","14,014,956",0
Tu Fan,tu fan,mafalda cardenal,5/26/2023,26.9,"65,670,361",8193,66.0,"96,035,934","736,076","55,379,246","493,111,688",0
Whole Lotta Choppas,Whole Lotta Choppas,Sada Baby,8/14/2020,26.9,"55,312,275",16559,45.0,"39,808,873","574,179","297,105,838","2,188,871,458",1
